A_thaliana_ortholog	Genefamily	Description	Gene_name	Species
AT5G01900.1	WRKY	WRKY62	Bo5g068250	B. oleracea
AT5G01950.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo3g001190	B. oleracea
AT5G02070.1	RLK	Protein kinase family protein	Bo8g083200	B. oleracea
AT5G02070.1	RLK	Protein kinase family protein	Bo9g184850	B. oleracea
AT5G03140.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo3g002180	B. oleracea
AT5G03730.1	MAPKKK	CTR1	Bo9g181770	B. oleracea
AT5G03730.1	MAPKKK	CTR1	Bo3g002520	B. oleracea
AT5G05160.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo9g177350	B. oleracea
AT5G06820.1	RLK	STRUBBELIG-receptor family 2	Bo9g175800	B. oleracea
AT5G06820.1	RLK	STRUBBELIG-receptor family 2	Bo3g004050	B. oleracea
AT5G06940.1	LRR-RK	Leucine-rich repeat receptor-like protein kinase family protein	Bo9g175720	B. oleracea
AT5G07100.1	WRKY	WRKY26	Bo2g007520	B. oleracea
AT5G07180.1	RLK	ERECTA-like 2	Bo8g098780	B. oleracea
AT5G07180.1	RLK	ERECTA-like 2	Bo9g175200	B. oleracea
AT5G10290.1	LRR-RK	leucine-rich repeat transmembrane protein kinase family protein	Bo9g172260	B. oleracea
AT5G10290.1	LRR-RK	leucine-rich repeat transmembrane protein kinase family protein	Bo2g009810	B. oleracea
AT5G10530.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo00859s050	B. oleracea
AT5G10530.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo4g057400	B. oleracea
AT5G10530.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g153700	B. oleracea
AT5G10530.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo2g009920	B. oleracea
AT5G11850.1	MAPKKK	RAF3	Bo2g010680	B. oleracea
AT5G12000.1	RLK	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	Bo2g010770	B. oleracea
AT5G12000.1	RLK	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	Bo3g032590	B. oleracea
AT5G12000.1	RLK	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	Bo2g155950	B. oleracea
AT5G12000.1	RLK	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	Bo2g136120	B. oleracea
AT5G12000.1	RLK	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	Bo9g169710	B. oleracea
AT5G13080.1	WRKY	WRKY75	Bo9g169080	B. oleracea
AT5G13080.1	WRKY	WRKY75	Bo3g008970	B. oleracea
AT5G15130.1	WRKY	WRKY72	Bo1g158770	B. oleracea
AT5G15130.1	WRKY	WRKY72	Bo2g012390	B. oleracea
AT5G15130.1	WRKY	WRKY72	Bo3g010100	B. oleracea
AT5G15130.1	WRKY	WRKY72	Bo9g165380	B. oleracea
AT5G16000.1	RLK	NSP-interacting kinase 1	Bo3g010820	B. oleracea
AT5G16000.1	RLK	NSP-interacting kinase 1	Bo3g044770	B. oleracea
AT5G16000.1	RLK	NSP-interacting kinase 1	Bo7g081770	B. oleracea
AT5G16000.1	RLK	NSP-interacting kinase 1	Bo9g163610	B. oleracea
AT5G16000.1	RLK	NSP-interacting kinase 1	Bo2g138770	B. oleracea
AT5G16590.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo9g163040	B. oleracea
AT5G16590.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo2g013170	B. oleracea
AT5G16900.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo4g107700	B. oleracea
AT5G19010.1	MAPK	MPK16	Bo3g013470	B. oleracea
AT5G19010.1	MAPK	MPK16	Bo9g154350	B. oleracea
AT5G20050.1	RLK	Protein kinase superfamily protein	Bo2g018590	B. oleracea
AT5G20050.1	RLK	Protein kinase superfamily protein	Bo3g013970	B. oleracea
AT5G20480.1	RLK	EF-TU receptor	Bo4g045680	B. oleracea
AT5G20480.1	RLK	EF-TU receptor	Bo9g151860	B. oleracea
AT5G20690.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo9g151600	B. oleracea
AT5G20690.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo2g022080	B. oleracea
AT5G22570.1	WRKY	WRKY38	Bo01002s040	B. oleracea
AT5G22570.1	WRKY	WRKY38	Bo2g024040	B. oleracea
AT5G24100.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo9g013800	B. oleracea
AT5G24110.1	WRKY	WRKY30	Bo9g013780	B. oleracea
AT5G24110.1	WRKY	WRKY30	Bo7g097170	B. oleracea
AT5G25930.1	LRR-RK	Protein kinase family protein with leucine-rich repeat domain	Bo00934s050	B. oleracea
AT5G25930.1	LRR-RK	Protein kinase family protein with leucine-rich repeat domain	Bo7g095580	B. oleracea
AT5G25930.1	LRR-RK	Protein kinase family protein with leucine-rich repeat domain	Bo7g095630	B. oleracea
AT5G25930.1	LRR-RK	Protein kinase family protein with leucine-rich repeat domain	Bo7g095600	B. oleracea
AT5G26170.1	WRKY	WRKY50	Bo2g155960	B. oleracea
AT5G26170.1	WRKY	WRKY50	Bo9g011080	B. oleracea
AT5G26170.1	WRKY	WRKY50	Bo7g095430	B. oleracea
AT5G27060.1	RLK	receptor like protein 53	Bo3g088590	B. oleracea
AT5G27060.1	RLK	receptor like protein 53	Bo1g141280	B. oleracea
AT5G28080.2	MAPKKK	ZIK9	Bo9g010130	B. oleracea
AT5G28080.2	MAPKKK	ZIK9	Bo7g093310	B. oleracea
AT5G28650.1	WRKY	WRKY74	Bo2g151880	B. oleracea
AT5G28650.1	WRKY	WRKY74	Bo7g093090	B. oleracea
AT5G35380.1	RLK	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	Bo8g030580	B. oleracea
AT5G35380.1	RLK	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	Bo3g086820	B. oleracea
AT5G35380.1	RLK	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	Bo4g134600	B. oleracea
AT5G35390.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo8g030570	B. oleracea
AT5G38260.1	RLK	Protein kinase superfamily protein	Bo4g140550	B. oleracea
AT5G38260.1	RLK	Protein kinase superfamily protein	Bo9g004330	B. oleracea
AT5G38280.1	RLK	PR5-like receptor kinase	Bo2g136130	B. oleracea
AT5G38280.1	RLK	PR5-like receptor kinase	Bo5g043330	B. oleracea
AT5G38280.1	RLK	PR5-like receptor kinase	Bo2g136140	B. oleracea
AT5G38280.1	RLK	PR5-like receptor kinase	Bo4g194440	B. oleracea
AT5G38280.1	RLK	PR5-like receptor kinase	Bo6g119880	B. oleracea
AT5G38280.1	RLK	PR5-like receptor kinase	Bo5g043300	B. oleracea
AT5G38280.1	RLK	PR5-like receptor kinase	Bo9g163960	B. oleracea
AT5G38280.1	RLK	PR5-like receptor kinase	Bo4g065730	B. oleracea
AT5G38280.1	RLK	PR5-like receptor kinase	Bo6g059890	B. oleracea
AT5G38280.1	RLK	PR5-like receptor kinase	Bo2g086400	B. oleracea
AT5G38280.1	RLK	PR5-like receptor kinase	Bo4g065720	B. oleracea
AT5G38280.1	RLK	PR5-like receptor kinase	Bo4g137070	B. oleracea
AT5G39000.1	Lectin RK	Malectin/receptor-like protein kinase family protein	Bo00667s120	B. oleracea
AT5G39000.1	Lectin RK	Malectin/receptor-like protein kinase family protein	Bo8g081290	B. oleracea
AT5G39000.1	Lectin RK	Malectin/receptor-like protein kinase family protein	Bo4g137650	B. oleracea
AT5G39030.1	RLK	Protein kinase superfamily protein	Bo7g005550	B. oleracea
AT5G39030.1	RLK	Protein kinase superfamily protein	Bo4g142220	B. oleracea
AT5G40170.1	RLK	receptor like protein 54	Bo8g115350	B. oleracea
AT5G40170.1	RLK	receptor like protein 54	Bo8g004400	B. oleracea
AT5G40170.1	RLK	receptor like protein 54	Bo4g139970	B. oleracea
AT5G40170.1	RLK	receptor like protein 54	Bo5g005170	B. oleracea
AT5G40170.1	RLK	receptor like protein 54	Bo8g115320	B. oleracea
AT5G40170.1	RLK	receptor like protein 54	Bo8g004380	B. oleracea
AT5G40380.1	Cysteine-rich RLK	cysteine-rich RLK (RECEPTOR-like protein kinase) 42	Bo6g064450	B. oleracea
AT5G40440.1	MAPKK	MKK3	Bo4g140200	B. oleracea
AT5G40540.1	MAPKKK	RAF32	Bo4g140340	B. oleracea
AT5G41570.1	WRKY	WRKY24	Bo4g142200	B. oleracea
AT5G41990.1	MAPKKK	ZIK6	Bo6g066630	B. oleracea
AT5G42120.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo7g084290	B. oleracea
AT5G43020.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo4g078530	B. oleracea
AT5G43290.1	WRKY	WRKY49	Bo9g059010	B. oleracea
AT5G45050.1	WRKY	WRKY16	Bo2g014070	B. oleracea
AT5G45050.2	WRKY	WRKY16	Bo7g070160	B. oleracea
AT5G45780.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo7g073840	B. oleracea
AT5G46330.1	LRR-RK	Leucine-rich receptor-like protein kinase family protein	Bo2g129990	B. oleracea
AT5G46330.1	LRR-RK	Leucine-rich receptor-like protein kinase family protein	Bo9g064150	B. oleracea
AT5G46350.1	WRKY	WRKY8	Bo9g064170	B. oleracea
AT5G46350.1	WRKY	WRKY8	Bo9g064180	B. oleracea
AT5G46350.1	WRKY	WRKY8	Bo7g075300	B. oleracea
AT5G46350.1	WRKY	WRKY8	Bo2g130010	B. oleracea
AT5G47850.1	RLK	CRINKLY4 related 4	Bo9g009140	B. oleracea
AT5G48740.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo7g089490	B. oleracea
AT5G49470.3	MAPKKK	RAF10	Bo9g009840	B. oleracea
AT5G49520.1	WRKY	WRKY48	Bo2g151740	B. oleracea
AT5G49520.1	WRKY	WRKY48	Bo7g092790	B. oleracea
AT5G49520.1	WRKY	WRKY48	Bo9g009900	B. oleracea
AT5G49660.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase family protein	Bo9g095410	B. oleracea
AT5G49760.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo3g042500	B. oleracea
AT5G49760.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo9g038640	B. oleracea
AT5G49760.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo9g037480	B. oleracea
AT5G49760.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo22748s010	B. oleracea
AT5G49760.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo9g095470	B. oleracea
AT5G49760.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo3g042520	B. oleracea
AT5G49760.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo12355s010	B. oleracea
AT5G49760.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo3g042530	B. oleracea
AT5G49760.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo06804s010	B. oleracea
AT5G49760.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo11332s010	B. oleracea
AT5G49760.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo05020s010	B. oleracea
AT5G49760.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo12350s010	B. oleracea
AT5G49760.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo03325s010	B. oleracea
AT5G50000.1	MAPKKK	RAF33	Bo3g042620	B. oleracea
AT5G50180.1	MAPKKK	RAF34	Bo3g042730	B. oleracea
AT5G52830.1	WRKY	WRKY27	Bo2g047450	B. oleracea
AT5G53320.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo3g022720	B. oleracea
AT5G55090.1	MAPKKK	MAPKKK15	Bo9g119130	B. oleracea
AT5G55090.1	MAPKKK	MAPKKK15	Bo3g021720	B. oleracea
AT5G55090.1	MAPKKK	MAPKKK15	Bo2g041270	B. oleracea
AT5G55560.1	MAPKKK	ZIK8	Bo9g120700	B. oleracea
AT5G55560.1	MAPKKK	ZIK8	Bo3g021470	B. oleracea
AT5G55560.1	MAPKKK	ZIK8	Bo2g038900	B. oleracea
AT5G55830.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g121050	B. oleracea
AT5G56040.2	LRR-RK	Leucine-rich receptor-like protein kinase family protein	Bo9g122300	B. oleracea
AT5G56040.2	LRR-RK	Leucine-rich receptor-like protein kinase family protein	Bo2g037570	B. oleracea
AT5G56270.1	WRKY	WRKY2	Bo3g021100	B. oleracea
AT5G56270.1	WRKY	WRKY2	Bo9g123740	B. oleracea
AT5G56580.1	MAPKK	MKK6	Bo9g126150	B. oleracea
AT5G56580.1	MAPKK	MKK6	Bo3g019790	B. oleracea
AT5G56890.1	RLK	Protein kinase superfamily protein	Bo2g032960	B. oleracea
AT5G56890.1	RLK	Protein kinase superfamily protein	Bo9g127380	B. oleracea
AT5G56890.1	RLK	Protein kinase superfamily protein	Bo9g127400	B. oleracea
AT5G57610.1	MAPKKK	RAF35	Bo3g019240	B. oleracea
AT5G58050.1	RLK	SHV3-like 4	Bo9g134740	B. oleracea
AT5G58050.1	RLK	SHV3-like 4	Bo2g028880	B. oleracea
AT5G58050.1	RLK	SHV3-like 4	Bo3g018950	B. oleracea
AT5G58050.1	RLK	SHV3-like 4	Bo2g028750	B. oleracea
AT5G58300.2	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo2g028680	B. oleracea
AT5G58300.2	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo3g018810	B. oleracea
AT5G58350.1	MAPKKK	ZIK2	Bo2g028640	B. oleracea
AT5G58350.1	MAPKKK	ZIK2	Bo3g018780	B. oleracea
AT5G58350.1	MAPKKK	ZIK2	Bo9g135000	B. oleracea
AT5G58950.1	MAPKKK	RAF36	Bo9g135800	B. oleracea
AT5G58950.1	MAPKKK	RAF36	Bo2g028260	B. oleracea
AT5G58950.1	MAPKKK	RAF36	Bo3g018430	B. oleracea
AT5G59270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo2g027070	B. oleracea
AT5G59270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo2g027060	B. oleracea
AT5G59270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo2g027090	B. oleracea
AT5G59670.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo2g025560	B. oleracea
AT5G59670.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo02309s020	B. oleracea
AT5G59670.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo3g017920	B. oleracea
AT5G59670.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo2g025570	B. oleracea
AT5G59670.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo3g017850	B. oleracea
AT5G59670.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo2g025550	B. oleracea
AT5G59670.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo9g140640	B. oleracea
AT5G59680.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo3g017900	B. oleracea
AT5G59680.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo9g140650	B. oleracea
AT5G59680.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo3g017860	B. oleracea
AT5G59680.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo2g026580	B. oleracea
AT5G59680.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo9g139570	B. oleracea
AT5G59680.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo3g017880	B. oleracea
AT5G59680.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo2g025540	B. oleracea
AT5G59700.1	RLK	Protein kinase superfamily protein	Bo9g140700	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g141280	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g142330	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo2g158660	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g142290	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g141260	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo01295s010	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo3g017460	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo25571s010	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g141240	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo2g025010	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g044080	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g142280	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo4g030830	B. oleracea
AT5G60270.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo8g070920	B. oleracea
AT5G60280.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g142340	B. oleracea
AT5G60300.2	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo3g017450	B. oleracea
AT5G60300.3	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g142450	B. oleracea
AT5G60300.3	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g142350	B. oleracea
AT5G60300.3	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g142420	B. oleracea
AT5G60300.3	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g142430	B. oleracea
AT5G60300.3	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g142390	B. oleracea
AT5G60310.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g142360	B. oleracea
AT5G60310.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo9g142470	B. oleracea
AT5G60310.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo2g025000	B. oleracea
AT5G60320.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo3g017440	B. oleracea
AT5G61350.1	RLK	Protein kinase superfamily protein	Bo9g014560	B. oleracea
AT5G62230.1	RLK	ERECTA-like 1	Bo3g107820	B. oleracea
AT5G64810.1	WRKY	WRKY51	Bo2g166420	B. oleracea
AT5G64810.1	WRKY	WRKY51	Bo3g100860	B. oleracea
AT5G64810.1	WRKY	WRKY51	Bo9g018440	B. oleracea
AT5G65240.1	LRR-RK	Leucine-rich repeat protein kinase family protein	Bo3g099380	B. oleracea
AT5G65600.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo2g042180	B. oleracea
AT5G65600.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo3g097940	B. oleracea
AT5G65600.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	Bo2g042170	B. oleracea
AT5G65700.2	LRR-RK	Leucine-rich receptor-like protein kinase family protein	Bo2g011970	B. oleracea
AT5G65700.2	LRR-RK	Leucine-rich receptor-like protein kinase family protein	Bo7g099040	B. oleracea
AT5G65700.2	LRR-RK	Leucine-rich receptor-like protein kinase family protein	Bo3g097780	B. oleracea
AT5G65710.1	RLK	HAESA-like 2	Bo9g018870	B. oleracea
AT5G66710.1	MAPKKK	RAF37	Bo7g064610	B. oleracea
AT5G66710.1	MAPKKK	RAF37	Bo9g021720	B. oleracea
AT5G66790.1	RLK	Protein kinase superfamily protein	Bo7g064500	B. oleracea
AT5G66850.1	MAPKKK	MAPKKK5	Bo7g064380	B. oleracea
AT5G66850.1	MAPKKK	MAPKKK5	Bo2g167810	B. oleracea
AT5G66850.1	MAPKKK	MAPKKK5	Bo4g154070	B. oleracea
AT5G67080.1	MAPKKK	MAPKKK19	Bo7g064080	B. oleracea
AT5G67080.1	MAPKKK	MAPKKK19	Bo01167s010	B. oleracea
AT5G67280.1	RLK	receptor-like kinase	Bo7g063860	B. oleracea
AT1G04290			BraA10g002820.3C	B. rapa
AT1G07890	APX1	APX1	BraA06g005140.3C	B. rapa
AT1G07890	APX1	APX1	BraA09g063050.3C	B. rapa
AT1G07890	APX1	APX1	BraA08g033370.3C	B. rapa
AT1G18870	ICS2	ICS2	BraA08g028480.3C	B. rapa
AT1G18870	ICS2	ICS2	BraA09g019140.3C	B. rapa
AT1G18870	ICS2	ICS2	BraA06g014590.3C	B. rapa
AT1G19570	DHAR1	DHAR1	BraA06g015150.3C	B. rapa
AT1G19570	DHAR1	DHAR1	BraA08g028190.3C	B. rapa
AT1G53180			BraA05g017270.3C	B. rapa
AT1G53180			BraA08g001750.3C	B. rapa
AT1G63940	MDAR6	MDAR6	BraA09g013500.3C	B. rapa
AT1G75270	DHAR2	DHAR2	BraA02g022700.3C	B. rapa
AT1G77490	TAPX	TAPX	BraA07g040850.3C	B. rapa
AT3G09640	APX2	APX2	BraA01g040660.3C	B. rapa
AT3G24170	ATGR1	ATGR1	BraA03g040980.3C	B. rapa
AT3G24170	ATGR1	ATGR1	BraA07g009030.3C	B. rapa
AT3G27820	ATMDAR4	ATMDAR4	BraA02g037920.3C	B. rapa
AT3G27820	ATMDAR4	ATMDAR4	BraA06g037360.3C	B. rapa
AT3G52880	ATMDAR1	ATMDAR1	BraA09g043930.3C	B. rapa
AT3G54660	GR	GR	BraA04g005290.3C	B. rapa
AT3G54660	GR	GR	BraA09g045490.3C	B. rapa
AT4G08390	SAPX	SAPX	BraA09g029180.3C	B. rapa
AT4G09010	APX4	APX4	BraA03g026770.3C	B. rapa
AT4G32320	APX6	APX6	BraA03g057260.3C	B. rapa
AT4G35000	APX3	APX3	BraA03g043300.3C	B. rapa
AT4G35000	APX3	APX3	BraA03g059120.3C	B. rapa
AT4G35970	APX5	APX5	BraA01g002610.3C	B. rapa
AT5G10450	GRF6	GRF6	BraA02g003450.3C	B. rapa
AT5G10450	GRF6	GRF6	BraA03g004280.3C	B. rapa
AT5G10450	GRF6	GRF6	BraA06g028880.3C	B. rapa
AT5G10450	GRF6	GRF6	BraA09g008660.3C	B. rapa
AT5G16710	DHAR3	DHAR3	BraA02g006620.3C	B. rapa
AT5G63980	SAL1	SAL1	BraA09g008060.3C	B. rapa
AT5G63980	SAL1	SAL1	BraA06g027450.3C	B. rapa
AT1G04290			Bo8g002840	B. oleracea
AT1G04290			Bo5g004440	B. oleracea
AT1G07890	APX1	APX1	Bo5g008580	B. oleracea
AT1G07890	APX1	APX1	Bo8g112810	B. oleracea
AT1G07890	APX1	APX1	Bo8g010880	B. oleracea
AT1G18870	ICS2	ICS2	Bo5g025950	B. oleracea
AT1G18870	ICS2	ICS2	Bo2g098840	B. oleracea
AT1G18870	ICS2	ICS2	Bo8g068170	B. oleracea
AT1G18870	ICS2	ICS2	Bo1g010130	B. oleracea
AT1G19570	DHAR1	DHAR1	Bo8g068570	B. oleracea
AT1G53180			Bo6g029330	B. oleracea
AT1G53180			Bo3g182800	B. oleracea
AT1G63940	MDAR6	MDAR6	Bo9g029590	B. oleracea
AT1G77490	TAPX	TAPX	Bo6g121330	B. oleracea
AT1G79890			Bo2g136090	B. oleracea
AT3G09640	APX2	APX2	Bo1g144390	B. oleracea
AT3G24170	ATGR1	ATGR1	Bo3g082040	B. oleracea
AT3G24170	ATGR1	ATGR1	Bo7g037630	B. oleracea
AT3G27820	ATMDAR4	ATMDAR4	Bo7g090810	B. oleracea
AT3G27820	ATMDAR4	ATMDAR4	Bo2g145010	B. oleracea
AT3G52880	ATMDAR1	ATMDAR1	Bo8g082300	B. oleracea
AT3G52880	ATMDAR1	ATMDAR1	Bo6g066960	B. oleracea
AT3G54660	GR	GR	Bo8g084820	B. oleracea
AT3G54660	GR	GR	Bo4g119790	B. oleracea
AT4G08390	SAPX	SAPX	Bo9g081890	B. oleracea
AT4G09010	APX4	APX4	Bo3g047070	B. oleracea
AT4G32320	APX6	APX6	Bo7g115720	B. oleracea
AT4G35000	APX3	APX3	Bo3g091610	B. oleracea
AT4G35000	APX3	APX3	Bo7g117150	B. oleracea
AT4G35970	APX5	APX5	Bo1g006060	B. oleracea
AT5G03630	ATMDAR2	ATMDAR2	Bo3g002490	B. oleracea
AT5G10450	GRF6	GRF6	Bo2g009880	B. oleracea
AT5G10450	GRF6	GRF6	Bo3g005620	B. oleracea
AT5G10450	GRF6	GRF6	Bo9g018730	B. oleracea
AT5G10450	GRF6	GRF6	Bo3g099210	B. oleracea
AT5G63980	SAL1	SAL1	Bo9g017940	B. oleracea
AT5G63980	SAL1	SAL1	Bo3g102820	B. oleracea
AT1G64060	ATRBOH F	ATRBOH F	BraA09g014740.3C	B. rapa
AT3G07880	SCN1	SCN1	BraA01g041260.3C	B. rapa
AT3G07880	SCN1	SCN1	BraA03g033500.3C	B. rapa
AT3G07880	SCN1	SCN1	BraA05g037850.3C	B. rapa
AT5G47910	RBOHD	RBOHD	BraA02g039310.3C	B. rapa
AT5G47910	RBOHD	RBOHD	BraA06g035910.3C	B. rapa
AT1G09090	ATRBOHB	ATRBOHB	Bo8g111180	B. oleracea
AT1G09090	ATRBOHB	ATRBOHB	Bo02631s010	B. oleracea
AT1G09090	ATRBOHB	ATRBOHB	Bo03074s010	B. oleracea
AT1G09090	ATRBOHB	ATRBOHB	Bo02619s010	B. oleracea
AT1G64060	ATRBOH F	ATRBOH F	Bo9g033770	B. oleracea
AT3G07880	SCN1	SCN1	Bo5g140120	B. oleracea
AT3G07880	SCN1	SCN1	Bo1g146130	B. oleracea
AT5G47910	RBOHD	RBOHD	Bo7g088940	B. oleracea
AT5G47910	RBOHD	RBOHD	Bo2g149580	B. oleracea
AT3G45140.1	JA biosynthesis	LOX2	BnaA07g38550D	B. napus
AT3G45140.1	JA biosynthesis	LOX2	BnaA07g19600D	B. napus
AT3G45140.1	JA biosynthesis	LOX2	BnaC06g26190D	B. napus
AT3G45140.1	JA biosynthesis	LOX2	BnaA07g24860D	B. napus
AT3G45140.1	JA biosynthesis	LOX2	BnaC06g18870D	B. napus
AT3G45140.1	JA biosynthesis	LOX2	BnaC02g15950D	B. napus
AT1G17420.1	JA biosynthesis	LOX3	BnaA09g45010D	B. napus
AT1G17420.1	JA biosynthesis	LOX3	BnaC08g48320D	B. napus
AT1G17420.1	JA biosynthesis	LOX3	BnaA08g23120D	B. napus
AT1G17420.1	JA biosynthesis	LOX3	BnaC08g37760D	B. napus
AT1G72520.1	JA biosynthesis	LOX4	BnaA02g16020D	B. napus
AT1G72520.1	JA biosynthesis	LOX4	BnaC02g21440D	B. napus
AT1G67560.1	JA biosynthesis	LOX6	BnaC02g45800D	B. napus
AT1G67560.1	JA biosynthesis	LOX6	BnaC06g26670D	B. napus
AT1G67560.1	JA biosynthesis	LOX6	BnaA02g13230D	B. napus
AT1G67560.1	JA biosynthesis	LOX6	BnaA07g24960D	B. napus
AT5G42650.1	JA biosynthesis	AOS	BnaC02g29610D	B. napus
AT5G42650.1	JA biosynthesis	AOS	BnaA02g23180D	B. napus
AT1G13280.1	JA biosynthesis	AOC4	BnaA08g24350D	B. napus
AT1G13280.1	JA biosynthesis	AOC4	BnaC08g15790D	B. napus
AT3G25770.1	JA biosynthesis	AOC2	BnaCnng76690D	B. napus
AT3G25770.1	JA biosynthesis	AOC2	BnaC09g52570D	B. napus
AT3G25770.1	JA biosynthesis	AOC2	BnaA06g33410D	B. napus
AT3G25770.1	JA biosynthesis	AOC2	BnaA09g19550D	B. napus
AT3G25770.1	JA biosynthesis	AOC2	BnaC07g22900D	B. napus
